election_name,method,n_cands,sigma_UM_worst_case_asin,sigma_UM_average_asin,sigma_UM_worst_case_odds,sigma_UM_average_odds,sigma_UM_winner_set_worst_case_asin,sigma_UM_winner_set_average_asin,sigma_UM_winner_set_worst_case_odds,sigma_UM_winner_set_average_odds,sigma_IIA_worst_case,sigma_IIA_average,sigma_IIA_all_subset_worst_case,sigma_IIA_all_subset_average,sigma_IIA_winner_set_worst_case,sigma_IIA_winner_set_average
shetland_2017_ward7,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shetland_2017_ward7,3-approval,5,0.8241285070832283,0.9824128507083228,0.8615096693699313,0.9861509669369932,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9375,1.0,1.0
shetland_2017_ward7,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.9895833333333334,1.0,1.0
shetland_2017_ward7,plurality,5,0.8804490677905493,0.9810382781543566,0.9326424870466321,0.9908801427443983,0.9299337137530185,0.9824834284382546,0.9761589403973508,0.9940397350993377,0.8333333333333334,0.9666666666666667,0.0,0.890625,1.0,0.9333333333333333
shetland_2017_ward7,stv,5,0.8804490677905493,0.9810382781543566,0.9326424870466321,0.9908801427443983,0.9299337137530185,0.9824834284382546,0.9761589403973508,0.9940397350993377,0.8333333333333334,0.9666666666666667,0.0,0.890625,1.0,0.9333333333333333
shetland_2017_ward7,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orkney_2017_ward5,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orkney_2017_ward5,3-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orkney_2017_ward5,2-approval,5,0.8108915644427822,0.9810891564442782,0.8421733505821475,0.9842173350582147,0.8108915644427822,0.9684819274071303,0.8421733505821475,0.9736955584303578,0.8333333333333334,0.9,0.0,0.9114583333333334,1.0,0.7333333333333333
orkney_2017_ward5,plurality,5,0.7831004833594805,0.9593992047802263,0.7991156032849022,0.9641288953867051,0.8108915644427822,0.9684819274071303,0.8421733505821475,0.9736955584303578,0.6666666666666667,0.9333333333333333,0.0,0.8645833333333333,1.0,1.0
orkney_2017_ward5,stv,5,0.7831004833594805,0.9400926594393837,0.7991156032849022,0.9477523641165568,0.8108915644427822,0.9684819274071303,0.8421733505821475,0.9736955584303578,0.8333333333333334,0.9,0.0,0.8072916666666667,1.0,0.9
orkney_2017_ward5,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eilean_siar_2012_ward8,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eilean_siar_2012_ward8,3-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eilean_siar_2012_ward8,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
