election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
north_lanarkshire_2012_ward8,6,1.0,1.0,0.9166666666666666,0.9333333333333333
south_lanarkshire_2012_ward11,6,0.7738762244488377,0.7738762244488377,0.9166666666666666,0.9333333333333333
inverclyde_2022_ward6,6,0.7753612702025849,1.0,0.9166666666666666,0.9166666666666666
aberdeenshire_2017_ward6,6,1.0,1.0,0.9166666666666666,0.9333333333333333
east_ayrshire_2022_ward4,6,0.8239887838891083,1.0,0.9444444444444443,0.9666666666666667
angus_2022_ward7,6,0.6970668188717835,0.6970668188717835,0.9166666666666666,0.95
stirling_2012_ward6,6,0.7890963222902838,1.0,1.0,0.9166666666666666
edinburgh_2017_ward8,6,0.8548947527622344,1.0,0.9166666666666666,0.9666666666666667
shetland_2012_ward4,6,1.0,1.0,1.0,1.0
west_lothian_2012_ward6,6,0.9679827214100848,0.9679827214100848,0.8333333333333334,0.9
fife_2022_ward13,6,0.8242164189191103,1.0,1.0,0.9833333333333333
moray_2022_ward5,6,0.7876746012984952,1.0,0.9444444444444443,0.9666666666666667
dumgal_2022_ward10,6,0.7427550203128709,0.7850681549435454,0.9444444444444443,0.8333333333333334
moray_2012_ward1,6,0.839433155860071,1.0,1.0,0.9666666666666667
east_dunbartonshire_2017_ward3,6,0.7725647721147211,0.7921222526723737,0.9166666666666666,0.9333333333333333
eilean_siar_2017_ward5,6,0.9120772236134184,1.0,1.0,0.9833333333333333
highland_2022_wick_and_east_caithness,6,0.7421581157858039,0.7421581157858039,0.8888888888888888,0.95
east_ayrshire_2022_ward9,6,0.8086137996294829,0.9165810573792101,1.0,1.0
argyll_bute_2017_ward2,6,0.846330833892773,0.846330833892773,0.9166666666666666,0.9833333333333333
aberdeenshire_2017_ward14,6,1.0,1.0,0.9444444444444445,0.8833333333333333
falkirk_2017_ward1,6,0.7977160276811113,0.8323137062080287,0.9166666666666666,0.9166666666666666
inverclyde_2017_ward3,6,0.8192241381996466,1.0,0.9166666666666666,0.9
eilean_siar_2012_ward9,6,0.8191512453199046,1.0,1.0,0.95
sc_borders_2022_ward1,6,0.7459594172741206,0.7459594172741206,0.9166666666666666,0.85
east_dunbartonshire_2022_ward5,6,0.8035302473233794,1.0,0.9166666666666666,0.9666666666666667
north_lanarkshire_2022_ward10,6,0.8430229981869933,1.0,0.9166666666666666,0.95
east_ayrshire_2022_ward8,6,0.7694094798953051,0.7694094798953051,0.9444444444444443,0.9166666666666666
edinburgh_2022_ward14,6,0.6527263624148171,0.6527263624148171,0.8888888888888888,0.85
south_lanarkshire_2012_ward2,6,0.7603706771347266,0.8694660043267267,0.7777777777777778,0.85
moray_2022_ward7,6,0.8281107313127454,1.0,1.0,0.9333333333333333
east_lothian_2017_ward6,6,0.7958766820012834,0.9141502270142597,0.9166666666666666,0.9166666666666666
angus_2012_ward8,6,1.0,1.0,1.0,0.9166666666666666
aberdeenshire_2012_ward14,6,0.904533950551011,0.9465391711599312,0.9444444444444445,0.9
stirling_2017_ward5,6,1.0,1.0,0.9166666666666666,0.9
edinburgh_2017_ward11,6,0.7699194666313183,0.9127144099277069,0.9444444444444443,0.95
north_lanarkshire_2012_ward12,6,0.7276212919504038,0.7276212919504038,0.8333333333333334,0.8333333333333334
north_lanarkshire_2012_ward15,6,0.8041859529953114,1.0,1.0,0.9666666666666667
