VoteKit RankProfile
Candidates
(Terrence Hayes:Terren),(Cayle Tern:Cayle ),(Michael (Mike) Sands:Michae),(Thomas Shervey:Thomas),(Loretta Smith:Lorett),(Noah Ernst:Noah E),(Deian Salazar:Deian ),(Joe Furi:Joe Fu),(Peggy Sue Owens:Peggy ),(Jamie Dunphy:Jamie ),(Joe Allen:Joe Al),(Timur Ender:Timur ),(David Linn:David ),(Steph Routh:Steph ),(Doug Clove:Doug C),(Candace Avalos:Candac)
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Steph '},{'Candac'},{'Timur '},{'Jamie '},{'Cayle '},{'David '},&,1.0,&
{'Steph '},{'Candac'},{'Timur '},{'Jamie '},{'Cayle '},{'David '},&,1.0,&
{'Terren'},{'Noah E'},{'Steph '},{'Doug C'},{'Joe Al'},{'Thomas'},&,1.0,&
{'Steph '},{'Noah E'},{'Jamie '},{'David '},{'Terren'},{'Candac'},&,1.0,&
{'Lorett'},{'Steph '},{'Jamie '},{'Cayle '},{'Candac'},{'Timur '},&,1.0,&
{'Lorett'},{'Steph '},{'Jamie '},,,,&,1.0,&
{'Jamie '},{'Doug C'},{'Timur '},{'Noah E'},{'Deian '},,&,1.0,&
{'Jamie '},{'Candac'},{'Steph '},{'Noah E'},,,&,1.0,&
{'Timur '},{'Steph '},{'Jamie '},{'Candac'},{'Terren'},{'Deian '},&,1.0,&
{'Candac'},{'Timur '},{'Steph '},{'Jamie '},{'Terren'},{'Cayle '},&,1.0,&
{'Peggy '},{'Steph '},{'Cayle '},{'Candac'},{'David '},{'Doug C'},&,1.0,&
{'Lorett'},,,,,,&,1.0,&
{'Doug C'},{'Joe Fu'},{'Candac'},{'David '},,,&,1.0,&
{'Jamie '},,,,,,&,1.0,&
{'Noah E'},{'Lorett'},{'Terren'},{'Joe Al'},{'Steph '},{'Doug C'},&,1.0,&
{'Michae'},{'Jamie '},{'Lorett'},,,,&,1.0,&
{'Timur '},{'Lorett'},,,,,&,1.0,&
{'David '},,,,,,&,1.0,&
{'Timur '},{'Lorett'},,,,,&,1.0,&
{'Candac'},{'David '},{'Doug C'},{'Michae'},,,&,1.0,&
{'Terren'},{'Michae'},{'Lorett'},{'Steph '},{'Noah E'},{'Candac'},&,1.0,&
{'Jamie '},{'Steph '},{'Candac'},{'Deian '},{'Noah E'},{'Michae'},&,1.0,&
