VoteKit RankProfile
Candidates
(Laura Streib:Laura ),(Michelle DePass:Michel),(Nabil Zaghloul:Nabil ),(Jennifer Park:Jennif),(Will Mespelt:Will M),(Debbie Kitchin:Debbie),(Chris Olson:Chris ),(Jonathan Tasini:Jonath),(Antonio Jamal PettyJohnBlue:Antoni),(Nat West:Nat We),(Reuben Berlin:Reuben),(Marnie Glickman:Marnie),(Sameer Kanal:Sameer),(Tiffani Penson:Tiffan),(Elana Pirtle-Guiney:Elana ),(Sam Sachs:Sam Sa),(Dan Ryan:Dan Ry),(Bob Simril:Bob Si),(Liz Taylor:Liz Ta),(Mariah Hudson:Mariah),(Michael (Mike) Marshall:Michae),(James Armstrong:James )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Elana '},{'Nat We'},{'Marnie'},{'Michel'},{'Debbie'},{'Sameer'},&,1.0,&
{'Michel'},{'Tiffan'},{'Sameer'},{'Mariah'},{'Elana '},{'James '},&,1.0,&
{'Nabil '},{'Bob Si'},{'Dan Ry'},{'Tiffan'},{'Michae'},,&,1.0,&
{'Elana '},{'Nat We'},{'Marnie'},{'Michel'},{'Sameer'},{'Debbie'},&,1.0,&
{'James '},{'Reuben'},{'Nat We'},{'Michel'},{'Dan Ry'},{'Elana '},&,1.0,&
{'Nabil '},{'Sameer'},{'Antoni'},{'Sam Sa'},{'Michel'},{'Jonath'},&,1.0,&
{'Dan Ry'},{'Mariah'},{'Bob Si'},{'Marnie'},,,&,1.0,&
{'Liz Ta'},,,,,,&,1.0,&
{'Nat We'},{'Debbie'},{'Marnie'},{'Sameer'},{'Michel'},{'Elana '},&,1.0,&
{'Elana '},{'Nat We'},{'Marnie'},{'Sameer'},,,&,1.0,&
{'Dan Ry'},{'Bob Si'},{'Will M'},{'James '},{'Elana '},{'Nat We'},&,1.0,&
{'Mariah'},{'Marnie'},{'Sameer'},{'Tiffan'},{'Nabil '},{'Elana '},&,1.0,&
{'Mariah'},{'Tiffan'},{'Nabil '},{'Michae'},{'Marnie'},{'Debbie'},&,1.0,&
{'Bob Si'},{'Dan Ry'},,,,,&,1.0,&
{'Nat We'},{'Sameer'},{'Tiffan'},{'Michel'},{'Dan Ry'},{'Debbie'},&,1.0,&
{'Michel'},{'Dan Ry'},{'Debbie'},{'James '},,,&,1.0,&
{'Debbie'},{'Nat We'},{'Marnie'},{'Sameer'},,,&,1.0,&
{'Debbie'},{'Nat We'},{'Marnie'},{'Sameer'},{'Michel'},,&,1.0,&
{'Tiffan'},,,,,,&,1.0,&
{'Elana '},{'Dan Ry'},{'Michel'},,,,&,1.0,&
{'Reuben'},{'Bob Si'},{'James '},,,,&,1.0,&
{'Elana '},{'Marnie'},{'Nat We'},{'Nabil '},,,&,1.0,&
{'Dan Ry'},{'Tiffan'},{'Nat We'},,,,&,1.0,&
{'Marnie'},{'Michel'},{'Elana '},{'Tiffan'},{'James '},{'Nabil '},&,1.0,&
{'Tiffan'},{'Dan Ry'},{'Michae'},{'Mariah'},{'Michel'},{'Nat We'},&,1.0,&
{'Elana '},{'Dan Ry'},{'Michel'},{'James '},{'Michae'},{'Mariah'},&,1.0,&
{'Sameer'},{'Tiffan'},{'Michel'},{'Nat We'},{'Jonath'},{'Michae'},&,1.0,&
{'Sam Sa'},{'Bob Si'},{'James '},{'Will M'},{'Jonath'},{'Nabil '},&,1.0,&
{'Elana '},{'Dan Ry'},{'Michel'},{'James '},{'Michae'},{'Mariah'},&,1.0,&
{'Dan Ry'},{'Bob Si'},{'Tiffan'},{'Michae'},{'Mariah'},{'Debbie'},&,1.0,&
{'Michel'},{'Tiffan'},{'Sameer'},{'Nat We'},,,&,1.0,&
{'Sameer'},{'Michel'},{'Jonath'},,,,&,1.0,&
{'Dan Ry'},{'Marnie'},{'Tiffan'},{'Michae'},{'Elana '},{'Mariah'},&,1.0,&
{'Dan Ry'},{'Marnie'},{'Tiffan'},{'Michae'},{'Elana '},{'Mariah'},&,1.0,&
{'Michel'},{'Tiffan'},{'Antoni'},,,,&,1.0,&
{'Dan Ry'},{'Marnie'},,,,,&,1.0,&
{'Dan Ry'},{'Michel'},{'Laura '},{'Liz Ta'},{'Sameer'},{'Debbie'},&,1.0,&
{'Jennif'},{'Jonath'},{'Bob Si'},{'Sameer'},{'Nabil '},{'Sam Sa'},&,1.0,&
{'Marnie'},{'James '},{'Dan Ry'},{'Tiffan'},,,&,1.0,&
{'Sameer'},{'Debbie'},{'Tiffan'},{'Will M'},{'Liz Ta'},{'Mariah'},&,1.0,&
{'Elana '},{'Mariah'},{'Marnie'},{'Debbie'},{'Tiffan'},{'Dan Ry'},&,1.0,&
{'Mariah'},{'Marnie'},{'Elana '},{'Reuben'},{'Nat We'},{'Bob Si'},&,1.0,&
{'Marnie'},{'Elana '},{'Tiffan'},{'James '},{'Nabil '},,&,1.0,&
{'Elana '},{'Liz Ta'},{'Michae'},{'Mariah'},{'Dan Ry'},{'Nabil '},&,1.0,&
{'Michel'},{'Sameer'},{'Jonath'},,,,&,1.0,&
{'Sameer'},{'Dan Ry'},{'Tiffan'},{'James '},{'Bob Si'},{'Debbie'},&,1.0,&
{'Nabil '},{'Sameer'},{'Tiffan'},{'Liz Ta'},{'Laura '},{'Michel'},&,1.0,&
{'Elana '},{'Michel'},{'Dan Ry'},{'Tiffan'},{'Sam Sa'},{'Jonath'},&,1.0,&
{'Sam Sa'},{'Bob Si'},{'James '},{'Will M'},{'Jonath'},{'Nabil '},&,1.0,&
{'Dan Ry'},{'Michae'},{'Nat We'},{'Mariah'},,,&,1.0,&
{'Mariah'},{'Marnie'},{'Elana '},{'Reuben'},{'Nat We'},{'Bob Si'},&,1.0,&
{'Nat We'},{'Mariah'},{'Dan Ry'},{'Tiffan'},{'Marnie'},,&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Nat We'},{'Elana '},{'Debbie'},{'Sameer'},{'Michel'},{'Marnie'},&,1.0,&
{'Tiffan'},{'Bob Si'},{'Michae'},{'Liz Ta'},{'Dan Ry'},{'Mariah'},&,1.0,&
{'Nabil '},{'Tiffan'},{'Michae'},{'Nat We'},,,&,1.0,&
{'Tiffan'},{'Debbie'},{'Michae'},,,,&,1.0,&
{'Sameer'},{'Jonath'},{'Mariah'},{'Dan Ry'},,,&,1.0,&
{'Sameer'},{'Michel'},{'Jonath'},{'Dan Ry'},{'Elana '},,&,1.0,&
{'Tiffan'},,,,,,&,1.0,&
{'Michel'},{'Sameer'},{'Jonath'},{'Tiffan'},{'Mariah'},{'Dan Ry'},&,1.0,&
{'Jonath'},{'Nat We'},{'Sameer'},{'Marnie'},{'Jennif'},{'Chris '},&,1.0,&
